Run,V,I,T0,T1,T2,T3,T4,T5,Tw1,Tw2,Tw3,P,T0cal,T1cal,T2cal,T3cal,T4cal,T5cal,Tw1cal,Tw2cal,Tw3cal,Pcal,Q01,Q12,Q23,Q34,Q45,T6ext,dT/dx,TLfit,rvalue,pvalue,stderr,intercept_stderr,dT/dx_err,k,q,q_err,Q,∆T,∆T_err,q,q_err
Units,V,A,C,C,C,C,C,C,C,C,C,V,C,C,C,C,C,C,C,C,C,psi,W,W,W,W,W,C,K/m,C,,,,,K/m,W/m-K,W/m^2,W/m^2,W,K,K,W/cm^2,W/cm^2
results_2022-04-08T11-31-47,25.04158333333333,0.2093591666666667,94.67147719065348,92.45121205647787,92.87697436014811,93.25696353912353,93.79231026967366,96.31590061187744,99.41594009399414,99.38624267578125,98.59192390441895,0.04501371017346775,94.98818970451265,92.55984168035938,93.18460122213256,93.27813532790643,93.85021144404573,96.44986171276763,98.9098854610735,98.40291805543438,97.91334039605498,13.440138857632565,15.579783723201396,-1.4749972417764767,-0.22124397007089952,-1.3514697575723567,-1.6909143177213788,97.80526057824804,-48.492980473051745,97.40989339584652,-0.9851452265362561,0.0,0.3456664159494622,0.027006175445245133,1.3826656637978487,392.98956409167675,-19057.2352576108,543.3731765004454,-1.357937386305739,-0.8735844711165868,0.10802470178098053,-1.9057235257610798,0.05433731765004454
results_2022-04-08T13-57-37,33.72716666666667,0.28231750000000005,109.2860954284668,99.80542894999186,99.62846953074137,99.50961278279622,99.51100667317708,99.83619060516358,99.39119904836019,99.4227305730184,98.5213347752889,0.04511962452282504,109.7607274419372,99.99964220661019,100.01894949918423,99.58149174367699,99.61235170329294,100.00261498958342,98.88485414713371,98.43956887350441,97.84187467530741,13.471960576798782,62.62512430571222,-0.04558266243047142,1.0347550742691232,-0.0729034143608477,-0.25384252120728273,100.07573035495558,-0.06280574872755852,99.84760181026952,-0.008595363322112644,0.8335838711947918,0.2987916957180423,0.023343954124034724,1.1951667828721693,392.8102096991459,-24.67073932798413,469.4737146054704,-0.0017579317686123282,1.564123943306413,0.0933758164961389,-0.002467073932798413,0.04694737146054704
results_2022-04-08T14-18-40,34.182500000000005,0.2859625,120.45123538970947,104.40531978607177,103.710697555542,103.10418866475423,102.64010670979818,101.15223700205485,99.07581748962403,99.10881481170654,98.20823936462402,0.04498451339701807,121.046513272068,104.65306360531082,104.15127387517524,103.20521859361068,102.76522292149234,101.33079765575988,98.56577245089738,98.12425145791377,97.52489117569952,13.431366754264337,105.17701653341932,1.1846773333002716,2.237782942041973,1.0394435767457315,0.9330063542434842,100.28833212017676,41.35433000993788,100.19766502935404,0.9842772730850543,0.0,0.3034716000628048,0.023709585009680553,1.2138864002512193,392.7088665400919,16240.212064727613,476.7039523510887,1.157208316217845,1.914187162390931,0.09483834003872221,1.6240212064727613,0.04767039523510887
results_2022-04-08T14-27-51,0.12999999999999995,0.0,187.80699132283527,132.31266237894695,128.13843619028728,124.16727549235026,120.41756560007731,106.95168495178223,99.32530473073324,99.36705163319905,98.46767088572184,0.04504267489537592,189.13008755116843,132.88517385104586,128.87878522374223,124.43912094708334,120.6777338070212,107.18372674580992,98.81818674043753,98.38364132359966,97.787544375539,13.44884124075518,360.855850257948,9.45869855462413,10.501505757961814,8.88588218054111,8.777030517437023,98.27201077228165,320.32536250316605,99.3936479451252,0.9994325218666585,0.0,0.4414842336113174,0.0344922159604883,1.7659369344452696,392.1211127565518,125606.3375888873,692.461155792573,8.950172439140768,1.110170078162085,0.1379688638419532,12.560633758888729,0.06924611557925729
results_2022-04-08T14-40-04,70.4625,0.5834425,227.9559814453125,149.67020276387532,143.3138005574544,137.02661412556967,131.03606211344402,109.43442465464274,99.37219893137613,99.42060712178548,98.56490631103516,0.04507432061557963,229.71291099907825,150.44471009536053,144.2403788701562,137.40274508740995,131.37689703150411,109.68936168828365,98.86563111589417,98.43743594092372,97.88598729214459,13.458349123560923,508.56854698074824,14.647829816685759,16.173621712311565,14.235433330517871,14.106422109605246,95.41254189435433,508.82040112395106,97.43052551338906,0.9997169611973193,0.0,0.4951583623424074,0.038685660479537025,1.9806334493696296,391.6887672578183,199299.235671869,775.7918741731908,14.201214369377462,-0.8529523535740537,0.1547426419181481,19.9299235671869,0.07757918741731908
results_2022-04-08T14-58-08,79.08275,0.65289,277.7192362467448,171.19920069376627,162.2619083404541,153.19700876871744,144.53040758768717,113.32376009623209,99.07744585673014,99.07526187896728,98.27493839263916,0.04487612886975204,280.013886880144,172.22424861695586,163.42101434541703,153.70427694169922,144.97375649788378,113.61456366343216,98.5674199224249,98.0905487091489,97.59241848718514,13.398802875908363,691.5562493675703,20.78359016715301,22.983804052530097,20.62493786195789,20.397246811983493,92.92966322665352,732.4429653261241,96.03804277667825,0.999805563715884,0.0,0.5907316140579754,0.04615259358211696,2.3629264562319015,391.0904971194769,286451.48342105764,924.1180824244982,20.411312209878204,-2.2454350902848574,0.18461037432846783,28.645148342105763,0.09241180824244982
results_2022-04-08T15-18-20,89.37625000000001,0.7356308333333333,327.1971987406413,193.02233072916667,181.45130577087403,169.72021090189617,158.4423100789388,117.26812775929768,99.30946515401205,99.34078267415364,98.45721594492595,0.045028743365158594,330.02648770339516,194.30134216378937,182.8459005302539,170.36147745244938,158.99134508301188,117.5953053542158,98.80216132973146,98.35725507194462,97.77695960294638,13.444655545003643,870.7847443096257,27.045196884613183,29.530440291548462,26.86074388245742,26.925605000244058,90.65646963092118,958.8784969129132,94.71465024296162,0.9998980940345098,0.0,0.5598362090121703,0.04373880187247945,2.2393448360486814,390.48123703533025,374424.06164113246,874.422141728968,26.67986330450967,-3.568827624001486,0.1749552074899178,37.442406164113244,0.0874422141728968
results_2022-04-08T15-41-27,97.37425,0.8041716666666666,366.7557083129883,211.69055938720703,197.8206422170003,183.64205640157064,170.07891960144042,120.66295852661133,99.25535977681479,99.30735390981039,98.35474459330241,0.044988692117234025,370.0124501133995,213.18681962594457,199.4161184612892,184.39622508179102,170.71635572873677,121.02144244968554,98.74742117434384,98.3236770459957,97.67321573912481,13.43262224100427,1006.1611354497647,32.511302152419404,35.527798270250074,32.317254988654796,32.323517279415626,88.61023198668077,1152.1222457050483,93.51475327783999,0.9998914136922854,0.0,0.6943618828784086,0.0542490041446395,2.7774475315136344,389.96410430922043,449286.31960109674,1083.1048388925697,32.014228837227805,-4.768724589123124,0.216996016578558,44.928631960109676,0.10831048388925697
results_2022-04-08T16-12-42,104.25641666666667,0.8545,396.42382354736327,226.3382937113444,210.65511830647787,194.51437034606934,179.11500460306803,123.27313117980957,99.30068753560384,99.31652895609538,98.49070847829184,0.044899505128463066,400.0011466887293,228.00501483435755,212.4080968797932,195.35671033940855,179.8210861603017,123.65568549909082,98.79328073004824,98.33289305945873,97.81086805409396,13.405826218301279,1103.4919660878104,36.82282450285303,40.33305736122896,36.70128091479273,36.53217560887172,86.84770349663421,1304.463310612124,92.47889470099736,0.9998773304150962,0.0,0.8356120251425989,0.06528457470527584,3.3424481005703957,389.5600272502964,508166.76282907085,1302.0841731409048,36.20979834669204,-5.804583165965752,0.26113829882110334,50.81667628290708,0.13020841731409047
